alcohol	citric acid	volatile acidity:pH:residual sugar	quality
10.9	0.48	nan:3.5:nan	high
12.0	1.0	0.4:3.24:19.5	medium
11.5		0.18:3.32:1.6	high
10.5	0.3	0.13:3.47:5.0	medium
9.3		0.17:3.29:nan	medium
	0.32	0.3:3.23:6.4	medium
10.0	0.44	0.445:3.48:14.5	medium
9.4	0.24	0.3:3.07:6.6	low
11.4		0.22:3.2:6.7	medium
10.4	0.3	0.23:2.94:1.1	medium
9.5	0.46	0.34:3.36:13.8	medium
11.9	0.04	0.545:3.14:2.5	low
11.1	0.31	0.3:2.99:1.1	medium
9.6	0.3	0.16:3.39:9.6	medium
12.0	0.36	0.32:nan:4.6	medium
8.7	0.23	0.22:3.14:3.1	low
9.6	0.3	0.16:3.39:9.6	medium
	0.38	0.15:nan:1.8	low
	0.29	0.29:2.91:1.05	low
9.6	0.47	0.37:3.14:6.5	medium
12.9	0.4	0.38:3.18:2.0	medium
9.7	0.23	0.25:3.14:14.9	medium
9.3	0.36	0.3:3.23:10.0	medium
9.1	0.58	0.22:nan:1.1	low
8.6	0.31	0.34:3.16:12.0	low
9.9	0.29	0.22:nan:4.8	low
9.3	0.36	0.3:3.23:10.0	medium
10.9	0.24	0.27:3.28:1.2	low
10.2	0.27	0.17:3.2:1.5	medium
9.7	0.3	0.18:3.11:10.4	medium
11.4	0.28	0.16:3.38:2.5	high
9.5		0.255:3.24:12.3	medium
10.2	0.25	nan:3.42:1.4	high
	0.28	0.16:nan:2.2	medium
9.7	0.23	0.25:3.14:14.9	medium
9.3		0.27:3.22:nan	low
	0.23	nan:3.17:8.6	low
10.6	0.28	0.21:2.8:1.2	low
9.3	0.2	0.62:3.17:8.7	low
10.2	0.19	0.28:3.31:5.4	medium
	0.28	0.3:nan:5.7	medium
11.0	0.27	0.17:3.46:1.5	high
	0.3	0.21:3.4:10.9	medium
9.3	0.25	0.27:3.22:8.0	low
8.8	0.23	0.29:3.17:8.6	low
8.8	0.26	0.32:3.17:7.7	low
8.9	0.22	0.32:3.28:1.7	low
10.0	0.07	0.37:3.17:1.4	low
12.2	0.28	0.43:3.16:4.5	high
10.9	0.26	0.39:3.04:9.9	medium
9.5	0.26	nan:3.34:nan	medium
10.9	0.26	0.4:nan:9.5	medium
10.9	0.26	0.39:nan:nan	medium
10.8		0.19:3.16:3.0	medium
12.0	1.0	nan:3.24:19.6	medium
9.8	0.35	0.25:3.56:14.0	low
9.5		0.18:nan:1.4	medium
11.0	0.36	0.15:3.42:1.8	high
11.0	0.36	0.15:3.42:nan	high
	0.31	nan:3.24:nan	low
	0.37	0.32:3.49:nan	low
11.4	0.26	0.21:3.05:9.25	medium
10.1	0.4	0.45:3.27:1.5	medium
11.6		0.24:3.33:6.8	high
11.4	0.26	0.21:3.05:9.25	medium
11.8	0.26	nan:3.07:nan	high
12.1	0.3	0.26:nan:2.1	high
12.0	0.29	0.36:3.16:7.6	low
12.1	0.24	0.2:3.08:1.6	high
9.1	0.3	0.16:3.15:1.4	low
9.3	0.24	0.33:3.36:1.6	low
10.4	0.36	nan:3.2:1.4	medium
9.1	0.31	0.35:3.27:17.95	low
9.4	0.24	0.37:3.32:nan	low
9.6	0.41	0.37:3.16:6.3	medium
12.0	0.32	0.37:3.19:1.4	low
11.3	0.27	0.25:3.27:9.05	high
8.7	0.29	0.23:3.06:15.4	medium
	0.21	0.26:nan:7.1	medium
9.3	0.22	0.3:3.08:nan	medium
9.5	0.23	0.16:3.07:1.6	low
8.7	0.29	0.23:3.06:15.4	medium
9.9		0.26:3.39:7.1	medium
9.3	0.22	0.3:nan:10.2	medium
9.4	0.39	0.33:3.16:nan	low
9.4	0.2	0.38:3.15:3.4	low
8.8	0.43	0.2:3.28:nan	medium
9.4		0.33:3.16:12.4	low
8.8	0.43	0.2:3.28:15.0	medium
9.9	0.21	0.36:nan:1.5	medium
9.4	0.2	0.38:3.15:3.4	low
12.6	0.24	0.46:3.29:4.8	medium
11.1	0.38	0.15:3.19:1.2	medium
	0.29	0.42:3.0:4.1	high
12.0	0.35	0.3:3.09:2.8	medium
12.0	0.3	0.27:nan:13.9	high
9.2	0.0	0.5:3.19:0.8	low
12.3	0.29	0.26:3.38:nan	medium
13.0	0.28	0.33:3.19:1.2	medium
12.0	0.35	0.3:nan:2.8	medium
		0.29:3.07:nan	low
		0.42:3.0:4.1	high
10.0	0.24	0.19:3.36:6.3	medium
	0.12	0.32:3.22:11.5	low
10.4	0.4	0.32:3.42:1.5	low
9.0	0.12	0.32:3.22:11.5	low
10.0	0.24	0.19:nan:6.3	medium
10.0	0.23	0.17:3.36:6.3	medium
11.3	0.24	0.44:3.12:11.2	high
11.3	0.24	0.44:3.12:11.2	high
12.0	0.24	0.49:3.13:15.1	high
	0.24	nan:nan:11.2	high
12.0	0.24	0.49:3.13:15.1	high
10.6	0.3	0.21:3.6:5.6	medium
9.3	0.42	0.55:2.99:12.6	low
9.4		0.19:3.04:5.7	medium
11.0	0.29	0.24:3.27:2.2	high
9.3	0.36	0.34:3.44:11.0	medium
9.4		0.19:nan:5.7	medium
10.5	0.33	0.18:3.42:1.0	low
11.0	0.29	0.24:3.27:2.2	high
9.5		0.18:3.07:11.8	medium
11.2	0.45	0.28:3.33:7.8	medium
12.3		0.34:3.29:4.7	medium
9.0	0.2	0.44:3.27:11.5	low
9.0	0.58	0.26:3.07:7.9	low
9.0	0.2	0.44:3.27:11.5	low
	0.57	0.49:2.98:17.8	low
11.4	0.25	0.24:3.25:1.7	medium
11.0	0.25	0.25:3.2:1.6	high
12.3	0.46	0.34:3.29:4.7	medium
10.4		0.18:3.6:nan	high
10.3	0.39	0.27:3.28:2.4	low
	0.35	0.24:3.29:6.4	high
9.8	0.28	0.22:3.14:14.0	medium
10.0	0.42	0.91:3.11:1.6	low
9.7	0.34	0.34:3.14:1.6	low
9.7	0.34	0.33:3.13:nan	low
9.8	0.28	0.22:3.14:14.0	medium
10.5	0.19	0.18:3.32:4.7	medium
10.0	0.28	0.2:nan:10.2	medium
11.5	0.31	0.13:3.24:2.3	high
9.5		0.28:3.24:7.8	low
10.5	0.3	0.25:3.43:2.4	medium
10.2	0.44	0.36:3.12:8.3	medium
9.8	0.25	0.27:3.34:13.9	medium
11.6	0.28	0.37:3.1:13.8	medium
11.8	0.27	0.21:3.15:7.3	high
10.1	0.28	nan:3.04:8.5	high
10.3	0.21	0.19:3.31:1.8	medium
	0.22	0.21:3.34:5.1	medium
8.9	0.2	0.33:3.09:16.05	low
8.9	0.2	0.33:3.09:16.05	low
10.8	0.31	0.29:nan:7.35	low
9.2	0.38	0.31:3.38:16.05	low
9.6	0.3	0.19:nan:2.0	medium
10.4	0.36	0.2:3.08:1.2	medium
8.7	0.26	0.25:3.03:14.0	medium
9.2	0.61	0.2:3.06:nan	medium
9.2	0.42	nan:3.18:14.3	low
9.2	0.61	0.2:3.06:16.2	medium
9.2	0.42	0.3:nan:14.3	low
	0.42	0.3:3.18:14.3	low
10.2	0.32	0.22:3.4:7.9	low
9.2	0.61	0.2:3.06:16.2	medium
9.0	0.02	0.53:3.2:1.0	low
9.7	0.41	0.24:3.37:13.6	low
9.6	0.4	0.24:nan:17.85	low
10.0	0.4	0.15:3.14:1.3	low
9.2	0.42	0.3:3.18:14.3	low
9.1	0.41	0.33:3.18:13.7	low
8.7		0.24:3.3:18.3	low
8.7	0.31	0.24:3.3:18.3	low
9.5		0.35:3.14:6.5	low
9.5		nan:2.93:10.3	medium
8.9	0.67	nan:2.9:8.1	medium
8.9	0.67	0.29:2.9:8.1	medium
9.9		0.31:3.29:8.6	medium
12.6		0.44:3.29:1.9	high
9.7	0.27	0.23:2.72:14.1	medium
10.4	0.3	0.21:2.96:7.9	low
9.1	0.35	0.23:2.93:10.7	medium
10.4	0.27	0.34:3.01:1.2	low
9.5		0.26:2.93:10.3	medium
	0.67	0.29:2.9:8.1	medium
10.6		0.28:3.16:1.9	low
12.0	0.3	0.37:3.12:2.7	high
12.5	0.36	0.36:2.93:5.7	high
9.6	0.34	0.13:3.21:9.3	low
9.2	0.36	0.25:3.08:8.1	low
	0.26	0.18:3.04:1.3	medium
11.7	0.27	0.3:2.96:8.5	medium
9.6	0.3	0.23:3.09:2.1	medium
12.0	0.3	0.43:3.0:3.5	medium
12.5	0.36	nan:2.93:nan	high
9.2	0.36	0.25:nan:8.1	low
	0.26	0.18:3.04:1.3	medium
8.9	0.29	0.35:nan:14.4	medium
9.0	0.5	0.22:3.24:13.7	medium
10.2		0.26:3.03:11.1	high
9.6	0.34	0.13:3.21:9.3	low
9.4	0.19	nan:3.29:nan	low
10.4	0.27	0.37:2.97:1.7	low
10.4	0.36	0.26:3.15:1.6	low
10.0	0.58	0.2:3.16:nan	medium
10.0	0.57	0.22:3.16:1.4	medium
10.5	0.28	0.25:3.05:nan	low
11.4	0.32	0.27:3.23:nan	medium
	0.33	0.34:3.08:9.7	low
10.4		0.27:3.04:10.5	medium
		0.49:3.24:2.0	low
	0.23	0.71:2.89:6.2	medium
9.2	0.65	0.47:3.0:8.3	low
10.3	0.36	0.28:3.23:1.6	medium
10.2	0.33	0.34:3.08:9.7	low
10.4	0.34	0.27:3.04:10.5	medium
	0.27	0.13:3.23:4.6	high
	0.35	0.16:3.33:1.2	low
9.0	0.32	0.31:3.14:7.6	low
8.6		0.36:2.93:15.0	low
	0.32	nan:nan:7.6	low
8.6	0.57	0.36:nan:15.0	low
9.5	0.44	0.25:3.18:nan	low
9.0	0.42	0.45:3.02:1.1	low
10.0	0.3	0.26:2.99:7.8	medium
9.0	0.32	nan:3.6:12.0	medium
9.0	0.42	0.45:3.02:1.1	low
	0.31	0.19:3.34:1.4	high
9.6	0.44	0.31:3.04:nan	low
	0.13	0.25:2.96:17.2	low
10.2	0.46	1.005:3.02:1.4	low
13.0	0.36	nan:3.01:nan	high
10.8		nan:3.37:nan	medium
	0.13	0.25:2.96:17.2	low
9.0	0.28	0.29:2.89:11.1	low
9.9	0.33	0.15:3.37:1.1	low
	0.32	0.12:3.29:7.2	medium
8.7		0.32:2.96:16.6	medium
10.1	0.31	0.17:2.79:1.0	low
10.1	0.31	0.17:2.79:1.0	low
9.5	0.47	0.21:2.9:1.3	low
9.9	0.48	0.21:3.17:1.4	low
8.7	0.55	0.32:2.96:16.6	medium
9.0	0.42	0.31:3.19:6.9	low
8.6	0.28	0.27:3.03:13.3	medium
10.5	0.3	0.21:3.12:8.1	medium
9.5	0.35	0.23:3.09:9.2	high
10.1	0.31	0.2:3.43:1.4	medium
	0.3	0.41:3.53:nan	high
10.7	0.43	0.49:3.23:2.5	medium
11.7	0.3	0.41:3.53:3.2	high
9.2	0.26	0.2:nan:nan	low
8.8	0.26	0.26:3.17:18.35	low
8.8	0.26	0.26:3.17:18.35	low
9.5	0.35	0.27:3.24:7.8	medium
10.2	0.37	nan:3.57:7.0	low
9.1	0.27	0.2:nan:6.3	medium
10.5	0.26	0.33:3.19:1.2	medium
9.0	0.5	0.38:3.09:12.8	medium
8.9	0.3	0.2:3.14:14.2	high
8.9	0.3	0.2:nan:14.2	high
8.9	0.3	0.2:3.14:14.2	high
8.9	0.3	0.2:3.14:14.2	high
8.9	0.3	0.2:3.14:14.2	high
9.1	0.58	0.19:3.2:16.65	medium
10.1	0.41	0.16:3.2:1.9	medium
10.0	0.28	0.22:nan:7.7	low
9.5	0.32	0.22:3.11:10.4	medium
12.3	0.3	0.33:3.08:3.3	high
9.1	0.27	0.43:3.24:1.1	low
8.9	0.3	0.2:3.14:14.2	high
9.6	0.28	0.12:nan:6.3	low
11.6	0.22	0.3:3.13:5.25	medium
8.8	0.33	0.28:3.34:14.6	medium
8.9	0.38	0.2:3.34:11.8	medium
8.8	0.33	0.28:3.34:14.6	medium
8.9	0.38	0.2:3.34:11.8	medium
8.9	0.38	0.2:3.34:11.8	medium
9.0	0.31	0.18:3.13:nan	medium
10.0	0.09	0.31:3.19:1.4	low
10.0		0.31:3.18:1.3	low
11.1	0.35	0.17:3.36:1.6	medium
11.6	0.22	0.3:nan:5.25	medium
10.6	0.31	0.26:3.42:2.4	medium
	0.33	0.28:3.34:14.6	medium
8.9	0.38	0.2:3.34:11.8	medium
10.1	0.31	0.18:3.34:1.5	medium
10.0	0.39	0.15:3.52:nan	low
12.2	0.33	0.4:nan:7.7	high
11.0	0.56	0.25:3.23:2.0	medium
10.0	0.39	0.15:3.52:1.8	low
11.1	0.46	0.18:3.37:1.4	low
10.4	0.22	nan:3.22:16.7	medium
11.8	0.3	0.55:2.94:8.1	low
10.8	0.39	0.19:3.11:8.0	medium
12.5	0.33	0.41:nan:4.7	high
11.8		0.55:2.94:8.1	low
11.6	0.34	0.2:3.25:2.1	high
10.4	0.22	0.32:3.22:16.7	medium
11.5	0.34	0.26:3.19:6.4	medium
10.1	0.28	0.21:3.23:1.5	medium
9.2	0.39	0.34:3.11:7.6	medium
10.1	0.28	0.21:3.23:1.5	medium
9.2	0.4	nan:3.07:12.4	low
8.9	0.71	0.3:3.08:1.3	low
	0.4	0.26:3.09:1.7	low
8.9	0.15	0.32:3.13:8.1	low
9.7	0.34	0.21:3.1:7.1	medium
9.2	0.39	0.34:3.11:7.6	medium
11.0	0.41	0.42:3.06:2.3	medium
	0.26	0.29:3.14:nan	low
	0.2	0.25:3.24:1.4	medium
9.8	0.33	0.23:nan:12.7	low
		0.35:3.25:1.6	low
10.4	0.28	0.2:2.97:1.1	low
10.2		nan:3.8:1.2	medium
10.7		0.29:3.14:6.5	low
	0.27	0.14:nan:4.6	low
10.6	0.35	0.24:3.08:0.6	low
9.5	0.45	0.3:3.22:10.6	medium
	0.27	0.14:3.34:4.6	low
9.2	0.27	nan:3.34:4.8	medium
	0.34	0.18:2.97:2.7	medium
9.9		0.385:3.28:12.6	medium
10.6		0.24:3.08:nan	low
9.3	0.43	0.33:3.38:9.2	low
9.6	0.44	0.34:3.14:6.6	low
9.5	0.44	nan:nan:7.0	low
9.7	0.24	0.28:3.39:nan	high
9.7	0.38	0.23:2.93:11.1	low
8.7	0.27	0.21:3.3:18.15	low
8.7	0.27	0.21:nan:18.15	low
12.4		0.485:3.01:4.1	low
12.4	0.29	0.485:3.01:4.1	low
10.6	0.29	0.29:3.07:4.6	medium
8.7	0.27	0.21:3.3:18.15	low
12.0	0.31	0.31:3.36:4.9	high
9.0	0.37	0.29:3.12:8.3	low
8.8	0.46	0.46:3.13:1.4	low
9.5	0.44	0.28:3.22:11.5	low
10.8	0.33	nan:nan:1.8	medium
11.4	0.25	0.17:3.16:1.6	low
10.3	0.36	0.18:3.6:2.4	low
9.5		0.22:3.3:4.9	medium
9.9		0.27:3.15:1.8	low
10.2	0.29	0.28:3.16:4.3	low
10.2	0.29	0.29:3.16:4.4	low
11.0	0.18	nan:3.44:1.4	medium
12.1	0.25	0.33:3.22:1.6	high
9.1	0.3	0.34:3.26:1.3	medium
9.5	0.26	0.19:nan:5.2	medium
9.5	0.27	0.23:3.27:5.6	low
	0.29	0.27:3.31:5.3	low
9.5	0.28	0.22:3.3:4.9	medium
10.3	0.36	0.18:3.6:2.4	low
9.6	0.32	0.36:3.3:nan	low
10.2	0.39	nan:3.52:2.1	medium
10.5	0.3	0.17:3.68:1.4	medium
10.4	0.32	0.45:3.32:7.1	low
9.6	0.32	0.36:3.3:1.6	low
10.7	0.14	0.42:3.22:10.7	low
10.5	0.32	0.33:3.15:nan	medium
10.6	0.32	0.3:2.85:10.7	low
9.6	0.32	0.17:3.29:1.6	medium
9.6	0.32	0.17:3.29:1.6	medium
9.5	0.32	0.17:3.14:1.5	low
9.4		0.17:nan:1.5	medium
9.8	0.3	0.15:3.22:1.6	medium
9.6	0.32	0.17:3.29:1.6	medium
9.2	0.19	0.25:3.16:8.0	low
9.5	0.19	0.24:3.17:7.7	low
9.2	0.03	0.76:3.34:nan	low
9.4	0.53	0.22:nan:15.1	low
9.4	0.53	0.22:2.94:15.1	low
9.3	0.4	0.28:3.4:8.9	low
9.1	0.34	nan:3.19:nan	low
	0.33	nan:nan:12.3	low
	0.36	0.18:3.42:13.1	medium
10.6	0.3	0.16:3.63:6.7	low
9.5	0.33	0.24:3.36:12.3	low
	0.35	0.28:3.19:2.3	medium
8.7	0.3	nan:3.18:11.1	low
8.8	0.15	0.27:3.12:nan	low
10.6		0.16:3.63:6.7	low
9.1		0.32:nan:6.0	low
9.0	0.47	0.24:3.02:15.2	low
10.3	0.33	0.24:3.16:nan	medium
9.1	0.36	0.18:3.42:13.1	medium
9.5	0.31	0.23:3.12:10.7	medium
8.8	0.25	0.22:3.3:17.1	low
8.8	0.25	0.22:3.3:17.1	low
8.8	0.25	0.22:3.3:17.1	low
	0.15	0.33:3.38:nan	low
9.5	0.31	nan:3.12:10.7	medium
8.8		0.22:3.3:17.1	low
11.7		0.2:3.14:nan	low
10.8	0.32	0.26:3.21:1.2	low
12.0		0.2:3.43:3.1	medium
10.3	0.36	0.16:3.2:nan	low
9.0	0.27	0.25:3.05:10.7	low
12.2	0.28	0.39:3.19:nan	high
9.9		0.26:3.39:12.6	low
9.0	0.27	0.25:nan:10.7	low
	0.28	0.39:3.19:4.9	high
10.1	0.22	0.28:nan:12.15	low
9.3	0.28	0.43:nan:12.0	low
9.5	0.38	0.33:3.1:1.7	low
9.2	0.05	0.5:3.43:2.6	medium
11.7	0.39	0.28:3.27:1.4	low
11.0	0.24	0.35:3.35:1.9	low
9.6	0.32	0.22:nan:16.9	medium
9.6	0.32	0.22:3.37:nan	medium
11.9	0.27	0.24:2.99:2.1	medium
10.8	0.32	0.26:3.25:7.0	medium
10.1	0.26	0.16:3.38:7.1	low
10.9		0.18:3.25:5.9	medium
	0.26	nan:nan:7.1	low
10.4	0.32	0.24:3.27:8.7	low
9.2	0.64	0.33:3.05:13.2	low
9.6	0.35	0.28:3.27:15.3	low
9.6	0.35	0.28:3.27:15.3	low
9.0	0.52	0.26:3.1:13.2	low
11.5	0.32	0.14:3.4:2.7	high
10.2	0.32	nan:3.17:10.65	medium
9.9	0.31	nan:3.4:10.0	medium
9.6	0.3	0.115:3.44:nan	medium
10.6	0.2	0.29:3.1:15.6	low
9.2	0.64	0.33:3.05:13.2	low
11.8	0.34	nan:3.24:5.1	medium
	0.34	0.24:3.18:3.0	medium
9.6	0.35	0.28:3.27:15.3	low
10.6	0.33	0.22:3.2:2.1	medium
	0.39	0.18:3.27:1.9	medium
10.2	0.45	0.93:3.12:8.6	low
10.7	0.33	0.29:3.11:8.75	low
	0.32	0.28:3.05:3.6	low
12.0	0.27	nan:3.01:4.7	medium
10.6	0.27	nan:3.52:1.3	medium
12.2	0.37	0.24:3.3:1.8	low
11.0	0.38	0.33:3.47:9.7	medium
	0.28	0.37:3.23:4.0	high
9.4	0.23	0.49:2.77:2.4	medium
12.0		0.25:3.01:4.7	medium
11.6	0.28	0.22:2.96:18.8	low
9.4	0.31	0.35:3.18:1.8	low
9.4	0.31	0.35:3.18:1.8	low
	0.3	0.19:3.14:nan	high
9.1		0.19:3.14:12.8	high
	0.3	0.19:3.14:nan	high
9.1	0.3	0.19:3.14:12.8	high
9.1	0.3	nan:3.14:12.8	high
	0.13	0.32:3.23:7.8	low
9.2	0.58	0.32:3.15:nan	low
9.1	0.3	0.19:3.14:12.8	high
9.1	0.3	0.19:3.14:nan	high
9.2	0.13	0.32:3.23:7.8	low
9.0	0.24	nan:3.25:5.4	high
9.2		0.32:3.15:16.75	low
10.8	0.31	0.24:3.22:1.3	medium
9.5	0.43	0.36:3.4:10.1	medium
11.0	0.25	0.29:3.11:3.8	medium
10.0	0.27	0.32:3.24:10.9	low
	0.24	0.3:nan:6.6	low
10.1		0.33:3.29:9.8	medium
9.5	0.31	0.18:3.19:11.7	high
9.5	0.81	0.39:3.08:1.2	low
9.5	0.18	0.25:3.11:1.4	low
9.4	0.32	0.18:3.35:9.6	medium
9.4	0.32	0.18:2.92:12.2	medium
12.7	0.42	0.27:3.31:nan	medium
9.7	0.35	0.23:3.09:10.7	low
9.7	0.41	0.28:3.27:4.9	medium
9.4	0.32	0.18:2.92:12.2	medium
9.4	0.32	0.18:3.35:nan	medium
9.5	0.18	0.25:3.11:1.4	low
11.7	0.26	0.22:nan:1.1	medium
11.7	0.29	0.18:3.09:1.0	medium
9.7	0.19	0.26:3.16:8.2	low
	0.42	0.25:3.24:11.3	medium
	0.23	0.24:3.25:7.3	low
10.3	0.27	0.28:3.23:2.3	medium
9.7		0.26:3.16:nan	low
9.9	0.38	0.24:3.21:2.1	low
9.9	0.33	0.27:3.22:2.0	low
10.2	0.34	0.39:3.26:10.0	low
12.1	0.33	0.24:3.0:nan	medium
11.3	0.24	0.23:3.15:3.9	high
11.4	0.3	0.26:3.19:2.0	low
12.2	0.35	0.32:3.17:1.5	medium
9.9	0.26	0.24:3.18:1.6	high
10.3	0.33	0.21:nan:1.4	medium
12.2	0.35	0.32:3.17:1.5	medium
	0.29	0.17:nan:nan	medium
	0.3	0.26:3.19:2.0	low
9.9	0.34	0.28:3.13:13.8	medium
10.0	0.37	0.3:3.32:1.3	low
11.5	0.38	0.25:3.21:3.8	medium
10.5	0.29	0.28:3.44:6.9	medium
12.5	0.36	0.24:3.28:2.2	high
10.5	0.32	0.22:2.98:1.6	medium
9.9	0.34	0.28:3.13:13.8	medium
11.4	0.28	0.45:3.06:10.8	high
9.8	0.33	0.23:3.42:12.8	medium
11.4	0.28	0.45:3.06:10.8	high
9.2	0.26	0.23:3.03:15.3	low
8.9	0.58	0.28:3.08:12.1	low
8.9	0.61	0.27:3.07:12.0	low
9.5	0.36	0.2:2.92:11.6	high
11.5	0.35	0.25:3.21:9.2	medium
9.5	0.36	0.2:2.92:11.6	high
11.5	0.35	0.25:3.21:9.2	medium
9.5	0.31	nan:2.96:2.8	medium
		0.39:3.35:1.6	low
9.7	0.38	0.23:3.17:6.1	low
9.5		0.44:3.32:8.5	medium
9.4		0.28:3.16:7.8	low
9.0	0.2	nan:3.13:14.9	low
10.6	0.29	0.15:3.6:6.2	medium
9.5		0.44:3.32:nan	medium
9.1	0.18	0.29:3.16:nan	low
9.4	0.19	0.28:3.16:7.8	low
	0.45	0.23:3.05:10.6	low
10.4	0.42	0.23:3.54:11.2	low
	0.14	0.36:3.13:11.6	low
10.6	0.24	nan:nan:7.1	high
9.0	0.2	0.34:3.13:14.9	low
10.6	0.29	0.15:3.6:6.2	medium
	0.29	0.2:3.28:1.7	medium
9.0	0.18	0.27:3.23:7.7	low
8.8	0.54	0.34:3.08:17.3	medium
10.5		0.18:3.54:1.4	high
9.5	0.2	0.29:3.16:7.7	low
9.0	0.18	0.27:3.23:7.7	low
10.4	0.19	0.26:3.14:3.4	medium
10.0	0.21	0.21:nan:1.6	medium
10.4	0.35	0.14:2.97:nan	low
9.0	0.54	0.39:3.11:nan	medium
9.3	0.28	0.48:3.24:nan	low
9.0	0.54	0.39:3.11:1.4	medium
	0.28	0.48:3.24:10.4	low
9.0	0.31	0.36:3.18:4.1	medium
11.5	0.31	0.25:3.06:2.8	medium
9.0	0.21	0.3:3.11:15.7	low
10.4	0.43	0.19:3.52:10.9	medium
9.0		0.3:nan:15.7	low
10.6	0.32	0.42:3.08:6.5	low
10.4	0.43	0.19:3.52:10.9	medium
8.5	0.3	0.2:3.47:5.9	medium
9.3	0.56	nan:nan:17.3	medium
10.5	0.25	0.19:3.53:1.4	high
9.9	0.26	nan:3.39:13.5	medium
10.4	0.28	0.25:3.4:8.5	medium
10.1	0.32	0.46:3.35:6.2	low
10.5	0.25	0.19:3.53:1.4	high
9.2		0.29:3.04:14.95	low
9.4	0.18	0.31:3.17:7.7	medium
10.6	0.3	0.14:3.53:1.3	medium
9.4		0.31:3.17:7.7	medium
	0.52	0.4:3.08:1.3	low
10.2	0.25	0.16:3.61:1.3	medium
10.3	0.22	nan:3.61:nan	medium
9.5	0.26	0.33:3.06:15.6	low
9.5	0.26	0.33:3.06:15.6	low
9.5	0.26	0.33:3.06:nan	low
9.5	0.26	0.33:3.06:15.6	low
9.4	0.24	0.41:3.17:4.9	low
9.4	0.23	0.43:3.17:5.0	low
9.5	0.26	0.33:nan:15.6	low
12.6	0.28	nan:3.16:6.5	high
10.5	0.24	0.18:nan:nan	high
10.8	0.28	0.17:3.1:2.7	medium
9.9	0.23	nan:3.18:nan	medium
12.6	0.28	0.4:3.16:6.5	high
12.2		0.32:nan:nan	high
10.0	0.19	0.42:nan:6.9	medium
10.6	0.31	0.28:3.29:7.2	high
9.5	0.42	0.29:3.24:10.6	medium
12.8	0.18	0.41:3.34:nan	high
12.2	0.31	0.32:nan:6.4	high
12.6	0.33	0.3:3.34:2.3	high
9.4	0.28	0.22:3.45:nan	low
	0.18	0.26:nan:7.0	low
9.1	0.18	0.44:3.23:11.8	low
9.4	0.2	nan:3.06:1.4	medium
12.2	0.3	0.36:3.33:5.0	high
10.0	0.2	0.295:nan:2.2	low
9.2	0.55	0.21:2.93:14.6	low
9.3	0.3	0.28:3.11:1.6	low
9.8	0.34	0.28:3.14:1.3	medium
9.2	0.55	0.21:2.93:14.6	low
12.0	0.26	0.22:3.34:2.8	high
9.3	0.3	0.28:3.11:1.6	low
12.6	0.3	0.32:3.33:3.3	high
12.2		nan:3.31:6.3	medium
11.0		0.42:3.4:8.1	medium
12.0	0.31	0.2:3.25:1.6	high
8.8	0.62	0.24:3.16:10.6	low
8.9	0.59	0.26:nan:11.8	low
12.7	0.32	0.4:3.59:1.7	high
11.8	0.3	0.2:3.1:8.1	medium
10.2	0.0	nan:3.79:1.4	low
9.9	0.04	0.41:3.24:1.3	medium
11.1	0.34	0.2:3.35:1.8	medium
9.4	0.21	0.3:3.22:7.2	low
9.7		0.35:3.13:1.1	medium
9.7	0.55	0.35:3.11:11.95	low
9.7	0.17	nan:3.13:1.1	medium
9.7	0.55	0.35:nan:11.95	low
9.8	0.4	0.3:3.19:2.2	low
9.3		0.38:3.25:12.7	medium
10.5	0.32	0.3:2.95:1.4	low
9.3	0.32	0.4:3.47:10.6	medium
12.6		nan:3.45:1.9	high
8.9	0.35	0.23:3.44:nan	low
	0.34	0.27:3.18:10.2	low
10.6	0.22	0.26:3.29:4.8	low
9.0	0.35	0.28:3.15:9.8	low
9.7	0.3	0.34:3.48:8.4	low
	0.26	0.23:3.22:nan	medium
10.3	0.29	0.29:3.49:4.8	medium
		0.34:nan:8.4	low
12.3	0.27	nan:3.21:4.5	high
10.5	0.27	0.17:3.4:nan	low
9.5	0.26	0.23:3.22:7.2	medium
10.0	0.26	nan:3.11:11.0	medium
	0.63	0.28:3.08:11.1	low
10.9		0.23:3.0:2.6	medium
12.2	0.31	0.26:nan:2.0	medium
9.5	0.4	0.46:3.06:10.1	low
10.0	0.22	0.31:3.47:13.3	low
9.6	0.34	0.25:3.11:11.4	medium
8.7	0.16	0.28:3.13:1.3	medium
10.7	0.26	nan:3.39:1.4	high
11.1		0.21:3.43:1.4	medium
	0.33	0.48:3.25:7.0	high
10.4	0.32	0.34:3.3:2.0	medium
11.5	0.37	0.21:3.2:1.2	low
9.4	0.27	0.32:3.05:12.9	low
9.3	0.27	0.495:3.03:5.0	low
10.1	0.34	0.25:nan:10.1	medium
9.7	0.46	0.25:3.28:3.75	low
10.5	0.29	0.18:3.49:nan	medium
9.7	0.26	0.24:3.42:12.6	low
9.2	0.24	0.32:3.59:1.3	low
9.8	0.35	0.32:3.19:1.6	low
9.0	0.44	0.33:nan:7.6	low
9.1	0.3	0.3:3.15:8.1	medium
10.4	0.3	0.34:3.25:nan	medium
10.7	0.29	0.16:3.68:6.0	medium
10.5	0.24	nan:3.59:6.0	high
9.2	0.73	0.45:3.21:7.2	low
	0.18	0.33:3.28:3.0	low
10.4	0.37	0.48:nan:1.2	low
12.0	0.3	0.2:3.3:2.0	medium
